match_id,team1,team2,toss_winner,toss_decision,venue,winner,h2h_team1_win_pct,avg_runs_per_match,venue_win_pct_team1,venue_win_pct_team2,form_team1,form_team2,toss_winner_won
336006,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,M Chinnaswamy Stadium,Kings XI Punjab,46.15,311.74,47.54,50.0,40.0,80.0,1
336007,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,60.0,318.27,70.21,50.0,60.0,20.0,1
336008,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Dr DY Patil Sports Academy,Mumbai Indians,51.72,282.94,71.43,50.0,40.0,100.0,1
336009,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla,Chennai Super Kings,33.33,307.02,41.07,83.33,60.0,40.0,1
336010,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders,56.25,307.25,60.81,40.0,20.0,20.0,1
336011,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,Sawai Mansingh Stadium,Rajasthan Royals,77.78,303.49,68.09,50.0,80.0,40.0,1
336013,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,60.87,318.27,70.21,40.0,40.0,100.0,0
336014,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,22.22,303.84,16.67,66.67,40.0,20.0,1
336015,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,field,Sawai Mansingh Stadium,Rajasthan Royals,61.11,303.49,68.09,20.0,80.0,40.0,1
336016,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,53.85,313.91,51.43,40.0,80.0,20.0,0
336017,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders,61.9,307.25,60.81,12.5,40.0,40.0,1
336018,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians,54.05,320.64,62.69,50.0,80.0,40.0,1
336020,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Feroz Shah Kotla,Delhi Daredevils,63.64,307.02,41.07,50.0,20.0,20.0,0
336021,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians,67.65,320.64,62.69,11.11,100.0,60.0,1
336022,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Feroz Shah Kotla,Kings XI Punjab,40.91,307.02,41.07,44.44,20.0,80.0,0
336023,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sawai Mansingh Stadium,Rajasthan Royals,44.44,303.49,68.09,42.86,60.0,20.0,0
336024,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,40.0,303.84,16.67,62.5,20.0,100.0,0
336025,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Eden Gardens,Chennai Super Kings,34.48,307.25,60.81,45.45,60.0,40.0,0
336026,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,M Chinnaswamy Stadium,Delhi Daredevils,70.0,311.74,47.54,42.86,0.0,20.0,1
336027,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Eden Gardens,Rajasthan Royals,50.0,307.25,60.81,22.22,60.0,60.0,1
336028,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Wankhede Stadium,Kings XI Punjab,53.85,320.64,62.69,45.45,100.0,80.0,0
336029,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,66.67,318.27,70.21,25.0,60.0,0.0,1
336031,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,70.0,313.91,51.43,50.0,80.0,20.0,1
336032,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla,Delhi Daredevils,50.0,307.02,41.07,33.33,40.0,80.0,1
336033,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,55.17,318.27,70.21,16.67,60.0,80.0,1
336002,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,54.55,303.84,16.67,25.0,20.0,20.0,0
336035,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,bat,Eden Gardens,Kolkata Knight Riders,66.67,307.25,60.81,27.27,40.0,100.0,0
336036,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,Rajasthan Royals,48.28,303.49,68.09,28.57,80.0,60.0,1
336037,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,40.0,303.84,16.67,66.67,0.0,40.0,0
336012,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,Mumbai Indians,43.75,311.74,47.54,80.0,20.0,60.0,1
336019,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,42.86,313.91,51.43,50.0,80.0,80.0,0
336038,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,field,Wankhede Stadium,Rajasthan Royals,38.89,320.64,25.0,50.0,60.0,80.0,0
336039,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,Wankhede Stadium,Chennai Super Kings,60.87,320.64,50.0,45.45,40.0,80.0,0
336040,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Dr DY Patil Sports Academy,Rajasthan Royals,55.17,282.94,75.0,50.0,60.0,100.0,1
392181,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Newlands,Mumbai Indians,45.95,256.71,50.0,100.0,40.0,40.0,0
392182,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Newlands,Royal Challengers Bangalore,55.56,256.71,50.0,33.33,40.0,100.0,1
392183,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Newlands,Delhi Daredevils,40.91,256.71,100.0,50.0,60.0,60.0,1
392184,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,Newlands,Deccan Chargers,22.22,256.71,100.0,50.0,0.0,40.0,0
392185,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,St George's Park,Chennai Super Kings,33.33,290.43,50.0,100.0,60.0,40.0,1
392186,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kingsmead,Kolkata Knight Riders,33.33,290.2,33.33,50.0,40.0,20.0,1
392188,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,Newlands,Deccan Chargers,45.45,256.71,50.0,100.0,60.0,20.0,1
392189,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,bat,Kingsmead,Delhi Daredevils,66.67,290.2,25.0,100.0,60.0,60.0,1
392190,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Newlands,Rajasthan Royals,50.0,256.71,50.0,33.33,40.0,80.0,0
392191,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kingsmead,Kings XI Punjab,46.15,290.2,75.0,33.33,60.0,20.0,0
392192,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Kingsmead,Deccan Chargers,40.0,290.2,66.67,50.0,40.0,40.0,1
392194,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,St George's Park,Delhi Daredevils,70.0,290.43,50.0,100.0,40.0,80.0,0
392195,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Newlands,Kings XI Punjab,42.86,256.71,50.0,33.33,20.0,80.0,1
392196,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Kingsmead,Deccan Chargers,60.0,290.2,25.0,66.67,40.0,60.0,1
392197,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,St George's Park,Mumbai Indians,32.35,290.43,50.0,66.67,40.0,20.0,1
392198,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,SuperSport Park,Rajasthan Royals,38.89,304.42,50.0,66.67,80.0,60.0,0
392199,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead,Royal Challengers Bangalore,43.75,290.2,75.0,50.0,20.0,40.0,0
392200,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Kingsmead,Kings XI Punjab,46.15,290.2,33.33,50.0,40.0,40.0,1
392201,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,SuperSport Park,Delhi Daredevils,36.36,304.42,50.0,50.0,80.0,60.0,1
392202,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park,Chennai Super Kings,55.17,304.42,66.67,66.67,20.0,60.0,0
392203,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Buffalo Park,Mumbai Indians,32.35,266.33,50.0,50.0,20.0,40.0,1
392204,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kingsmead,Royal Challengers Bangalore,46.15,290.2,75.0,33.33,20.0,60.0,1
392205,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,St George's Park,Rajasthan Royals,22.22,290.43,50.0,100.0,80.0,40.0,0
392206,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,New Wanderers Stadium,Chennai Super Kings,66.67,286.5,50.0,33.33,40.0,80.0,0
392207,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park,Kings XI Punjab,33.33,290.43,100.0,50.0,60.0,20.0,0
392208,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,New Wanderers Stadium,Royal Challengers Bangalore,43.75,286.5,75.0,50.0,40.0,60.0,0
392209,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Buffalo Park,Chennai Super Kings,60.0,266.33,100.0,50.0,60.0,60.0,1
392210,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Kingsmead,Rajasthan Royals,42.86,290.2,33.33,66.67,80.0,60.0,0
392211,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead,Delhi Daredevils,38.1,290.2,100.0,50.0,60.0,0.0,0
392212,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,SuperSport Park,Deccan Chargers,40.0,304.42,50.0,33.33,40.0,40.0,1
392213,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park,Rajasthan Royals,55.56,304.42,66.67,66.67,60.0,60.0,1
392214,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,SuperSport Park,Chennai Super Kings,60.87,304.42,66.67,50.0,60.0,60.0,1
392215,Delhi Daredevils,Mumbai Indians,Mumbai Indians,bat,Buffalo Park,Delhi Daredevils,50.0,266.33,100.0,50.0,60.0,40.0,0
392216,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,De Beers Diamond Oval,Kings XI Punjab,30.0,299.0,50.0,100.0,40.0,40.0,1
392217,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval,Chennai Super Kings,55.17,299.0,100.0,50.0,80.0,80.0,0
392218,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,St George's Park,Mumbai Indians,43.75,290.43,50.0,66.67,60.0,20.0,1
392219,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,field,New Wanderers Stadium,Delhi Daredevils,38.1,286.5,33.33,50.0,60.0,0.0,1
392220,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,De Beers Diamond Oval,Deccan Chargers,22.22,299.0,50.0,50.0,20.0,60.0,1
392221,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,SuperSport Park,Royal Challengers Bangalore,43.75,304.42,66.67,50.0,60.0,0.0,1
392222,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,SuperSport Park,Mumbai Indians,46.15,304.42,50.0,33.33,40.0,40.0,0
392223,Deccan Chargers,Delhi Daredevils,Deccan Chargers,field,Kingsmead,Delhi Daredevils,36.36,290.2,66.67,100.0,40.0,80.0,0
392224,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Kingsmead,Royal Challengers Bangalore,33.33,290.2,75.0,25.0,60.0,100.0,0
392225,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Kingsmead,Rajasthan Royals,51.72,290.2,50.0,66.67,40.0,60.0,1
392226,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,OUTsurance Oval,Kings XI Punjab,40.91,264.5,50.0,100.0,80.0,40.0,1
392227,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,St George's Park,Chennai Super Kings,45.95,290.43,100.0,66.67,80.0,40.0,0
392228,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,New Wanderers Stadium,Deccan Chargers,22.22,286.5,66.67,50.0,40.0,0.0,1
392229,Deccan Chargers,Kings XI Punjab,Deccan Chargers,field,New Wanderers Stadium,Kings XI Punjab,30.0,286.5,66.67,100.0,60.0,40.0,0
392230,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,OUTsurance Oval,Delhi Daredevils,38.89,264.5,50.0,50.0,80.0,60.0,1
392231,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,SuperSport Park,Kolkata Knight Riders,65.52,304.42,66.67,50.0,80.0,0.0,0
392232,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,bat,New Wanderers Stadium,Royal Challengers Bangalore,70.0,286.5,75.0,33.33,60.0,80.0,0
392233,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kingsmead,Kolkata Knight Riders,50.0,290.2,50.0,66.67,20.0,40.0,1
392234,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Kingsmead,Chennai Super Kings,60.87,290.2,25.0,33.33,60.0,60.0,1
392235,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,SuperSport Park,Delhi Daredevils,50.0,304.42,50.0,33.33,60.0,40.0,1
392236,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,SuperSport Park,Royal Challengers Bangalore,45.45,304.42,66.67,50.0,60.0,40.0,1
392237,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,SuperSport Park,Deccan Chargers,63.64,304.42,50.0,50.0,60.0,40.0,1
392238,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,New Wanderers Stadium,Royal Challengers Bangalore,33.33,286.5,75.0,50.0,80.0,60.0,1
392239,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,field,New Wanderers Stadium,Deccan Chargers,45.45,286.5,75.0,66.67,100.0,40.0,0
419106,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,Dr DY Patil Sports Academy,Kolkata Knight Riders,22.22,282.94,33.33,100.0,60.0,40.0,0
419107,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Brabourne Stadium,Mumbai Indians,51.72,348.1,71.43,50.0,40.0,20.0,1
419108,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,59.09,313.91,51.43,33.33,60.0,40.0,1
419109,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Eden Gardens,Kolkata Knight Riders,56.25,307.25,60.81,40.0,60.0,80.0,1
419110,Chennai Super Kings,Deccan Chargers,Deccan Chargers,bat,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,60.0,318.27,70.21,50.0,40.0,40.0,1
419111,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,"Sardar Patel Stadium, Motera",Delhi Daredevils,61.11,313.92,58.33,50.0,20.0,60.0,1
419112,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,bat,M Chinnaswamy Stadium,Royal Challengers Bangalore,46.15,311.74,47.54,50.0,60.0,40.0,0
419113,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Eden Gardens,Chennai Super Kings,34.48,307.25,60.81,45.45,80.0,40.0,1
419114,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla,Mumbai Indians,50.0,307.02,41.07,33.33,60.0,40.0,0
419115,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,55.56,311.74,47.54,50.0,60.0,20.0,1
419116,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Feroz Shah Kotla,Chennai Super Kings,33.33,307.02,41.07,83.33,60.0,40.0,0
419117,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Barabati Stadium,Deccan Chargers,30.0,325.43,75.0,33.33,60.0,40.0,0
419118,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,"Sardar Patel Stadium, Motera",Rajasthan Royals,50.0,313.92,58.33,50.0,0.0,80.0,1
419119,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Brabourne Stadium,Royal Challengers Bangalore,56.25,348.1,71.43,100.0,40.0,60.0,0
419120,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Barabati Stadium,Deccan Chargers,36.36,325.43,75.0,50.0,80.0,40.0,1
419121,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,60.87,318.27,70.21,40.0,60.0,20.0,0
419122,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Brabourne Stadium,Mumbai Indians,67.65,348.1,71.43,50.0,40.0,60.0,0
419123,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,33.33,311.74,47.54,57.14,60.0,40.0,0
419124,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,42.86,313.91,51.43,50.0,20.0,20.0,0
419125,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Brabourne Stadium, Mumbai",Mumbai Indians,45.95,342.59,50.0,50.0,40.0,60.0,1
419128,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Delhi Daredevils,70.0,311.74,47.54,42.86,80.0,40.0,0
419126,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,"Sardar Patel Stadium, Motera",Rajasthan Royals,77.78,313.92,58.33,50.0,40.0,80.0,0
419127,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,33.33,313.91,51.43,50.0,20.0,40.0,1
419129,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,"Sardar Patel Stadium, Motera",Rajasthan Royals,44.83,313.92,58.33,50.0,60.0,40.0,1
419130,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,Dr DY Patil Sports Academy,Mumbai Indians,40.0,282.94,33.33,71.43,60.0,80.0,0
419131,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla,Delhi Daredevils,38.1,307.02,41.07,62.5,40.0,40.0,1
419132,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Brabourne Stadium,Mumbai Indians,53.85,348.1,71.43,50.0,80.0,20.0,1
419133,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,66.67,318.27,70.21,25.0,20.0,80.0,0
419134,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Feroz Shah Kotla,Delhi Daredevils,38.89,307.02,41.07,57.14,40.0,80.0,1
419135,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders,77.78,307.25,60.81,50.0,20.0,60.0,1
419136,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,53.85,313.91,51.43,40.0,20.0,60.0,0
419137,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,55.17,318.27,70.21,16.67,20.0,80.0,1
419138,Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,Brabourne Stadium,Mumbai Indians,60.0,348.1,71.43,50.0,80.0,40.0,1
419139,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Eden Gardens,Kings XI Punjab,66.67,307.25,60.81,27.27,40.0,20.0,0
419140,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,Feroz Shah Kotla,Delhi Daredevils,30.0,307.02,41.07,71.43,60.0,60.0,1
419141,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,bat,"Vidarbha Cricket Association Stadium, Jamtha",Rajasthan Royals,22.22,294.0,66.67,100.0,20.0,60.0,1
419142,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,45.95,318.27,70.21,50.0,40.0,100.0,1
419143,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Sawai Mansingh Stadium,Rajasthan Royals,57.14,303.49,68.09,16.67,60.0,20.0,0
419144,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders,61.9,307.25,60.81,12.5,40.0,80.0,1
419145,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,M Chinnaswamy Stadium,Deccan Chargers,45.45,311.74,47.54,33.33,40.0,0.0,1
419146,Kings XI Punjab,Mumbai Indians,Mumbai Indians,bat,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,46.15,313.91,51.43,50.0,20.0,80.0,0
419147,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,bat,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,40.0,294.0,66.67,50.0,20.0,60.0,0
419148,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,43.75,311.74,47.54,54.55,20.0,60.0,1
419149,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Feroz Shah Kotla,Kings XI Punjab,40.91,307.02,41.07,44.44,80.0,40.0,0
419150,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,Mumbai Indians,48.28,303.49,68.09,28.57,60.0,60.0,0
419151,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,54.55,294.0,66.67,50.0,40.0,40.0,0
