player,total_runs,balls_faced,fours,sixes,innings_played,strike_rate,dot_ball_pct,dismissals,batting_average,runs_conceded,balls_bowled,bowling_innings,wickets_taken,economy_rate,bowling_strike_rate,all_rounder_score,cluster,cluster_label
AM Rahane,4642,3858,479,103,171,120.32141005702437,37.92120269569725,154,30.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,22.05,0,Elite All-Rounder
AP Majumdar,87,77,7,2,4,112.987012987013,36.36363636363637,4,21.75,0.0,0.0,0.0,0.0,0.0,0.0,14.69,1,Key Bowler
AP Tare,339,285,40,11,27,118.94736842105264,49.82456140350877,24,14.125,0.0,0.0,0.0,0.0,0.0,0.0,9.8,1,Key Bowler
AR Patel,1653,1318,107,79,112,125.41729893778452,35.66009104704097,77,21.467532467532468,3824.0,3152.0,148.0,131.0,7.279187817258883,24.06106870229008,46.59,0,Elite All-Rounder
AS Raut,194,172,13,7,16,112.7906976744186,38.95348837209303,9,21.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,14.53,1,Key Bowler
AT Rayudu,4348,3490,359,173,185,124.58452722063038,36.50429799426934,155,28.05161290322581,0.0,0.0,0.0,0.0,0.0,0.0,21.22,0,Elite All-Rounder
Abdul Samad,579,408,37,36,39,141.91176470588235,36.51960784313725,31,18.677419354838708,0.0,0.0,0.0,0.0,0.0,0.0,15.91,1,Key Bowler
Abhishek Sharma,1377,925,128,73,61,148.86486486486484,38.48648648648648,54,25.5,396.0,278.0,26.0,11.0,8.546762589928058,25.272727272727277,25.29,1,Key Bowler
Abishek Porel,360,244,37,15,16,147.54098360655738,36.885245901639344,14,25.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,23.1,1,Key Bowler
Aman Hakim Khan,115,109,8,6,10,105.50458715596328,50.45871559633027,9,12.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0,7.71,1,Key Bowler
Anirudh Singh,63,69,6,1,4,91.30434782608695,49.275362318840585,4,15.75,0.0,0.0,0.0,0.0,0.0,0.0,8.27,1,Key Bowler
Ankit Sharma,87,69,7,4,10,126.08695652173914,42.028985507246375,7,12.428571428571429,453.0,375.0,21.0,12.0,7.248,31.25,11.89,1,Key Bowler
Anmolpreet Singh,139,117,19,3,9,118.8034188034188,47.008547008547005,9,15.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,10.77,1,Key Bowler
Anuj Rawat,318,276,26,14,21,115.21739130434784,44.56521739130434,16,19.875,0.0,0.0,0.0,0.0,0.0,0.0,13.64,1,Key Bowler
Arshad Khan,96,67,5,6,6,143.28358208955223,35.82089552238806,3,32.0,282.0,153.0,9.0,6.0,11.058823529411764,25.5,29.0,1,Key Bowler
Ashutosh Sharma,189,118,10,15,9,160.16949152542372,36.440677966101696,7,27.0,0.0,0.0,0.0,0.0,0.0,0.0,26.44,1,Key Bowler
Atharva Taide,247,177,27,8,9,139.54802259887003,37.85310734463277,9,27.444444444444443,0.0,0.0,0.0,0.0,0.0,0.0,23.33,1,Key Bowler
Azhar Mahmood,388,311,39,13,21,124.7588424437299,39.87138263665595,19,20.42105263157895,707.0,552.0,23.0,31.0,7.684782608695652,17.806451612903224,22.08,1,Key Bowler
B Akhil,76,57,5,5,11,133.33333333333331,45.614035087719294,6,12.666666666666666,246.0,193.0,13.0,7.0,7.647668393782384,27.571428571428573,11.4,1,Key Bowler
B Chipli,280,256,28,7,21,109.375,42.96875,15,18.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,12.07,1,Key Bowler
B Kumar,306,338,30,3,65,90.53254437869822,47.0414201183432,35,8.742857142857142,5051.0,4060.0,176.0,195.0,7.464532019704434,20.82051282051282,48.36,1,Key Bowler
B Lee,124,102,8,8,19,121.5686274509804,45.09803921568628,10,12.4,1126.0,916.0,38.0,30.0,7.375545851528384,30.53333333333333,15.59,1,Key Bowler
B Sai Sudharsan,1034,770,95,32,25,134.28571428571428,31.68831168831169,22,47.0,0.0,0.0,0.0,0.0,0.0,0.0,38.95,1,Key Bowler
BA Stokes,935,718,81,32,43,130.22284122562675,35.23676880222841,38,24.605263157894736,1023.0,723.0,38.0,31.0,8.489626556016598,23.32258064516129,25.56,1,Key Bowler
BB McCullum,2882,2272,293,130,109,126.84859154929578,45.24647887323944,104,27.71153846153846,0.0,0.0,0.0,0.0,0.0,0.0,21.35,0,Elite All-Rounder
BB Samantray,125,116,13,2,8,107.7586206896552,41.37931034482759,5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,16.18,1,Key Bowler
BCJ Cutting,238,146,15,19,17,163.013698630137,39.72602739726028,11,21.63636363636364,430.0,288.0,17.0,12.0,8.958333333333334,24.0,23.69,1,Key Bowler
BJ Hodge,1400,1153,122,43,63,121.42237640936686,38.074588031222895,42,33.333333333333336,310.0,238.0,20.0,18.0,7.815126050420169,13.22222222222222,28.59,1,Key Bowler
BJ Rohrer,193,146,21,5,8,132.1917808219178,39.04109589041096,7,27.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,22.17,1,Key Bowler
Bipul Sharma,187,124,11,9,17,150.80645161290323,27.41935483870968,8,23.375,581.0,436.0,28.0,22.0,7.995412844036696,19.818181818181817,26.06,1,Key Bowler
C Green,707,472,62,32,28,149.78813559322032,30.508474576271187,17,41.588235294117645,675.0,462.0,29.0,20.0,8.766233766233766,23.1,42.29,1,Key Bowler
C Munro,177,144,19,8,11,122.91666666666669,47.22222222222222,12,14.75,0.0,0.0,0.0,0.0,0.0,0.0,10.64,1,Key Bowler
C de Grandhomme,303,229,18,18,21,132.31441048034935,37.55458515283843,16,18.9375,323.0,230.0,19.0,7.0,8.426086956521738,32.857142857142854,16.4,1,Key Bowler
CA Ingram,205,183,22,5,15,112.02185792349728,42.62295081967213,12,17.083333333333332,0.0,0.0,0.0,0.0,0.0,0.0,11.27,1,Key Bowler
CA Lynn,1329,974,132,66,42,136.4476386036961,42.71047227926078,39,34.07692307692308,0.0,0.0,0.0,0.0,0.0,0.0,28.49,1,Key Bowler
CA Pujara,390,403,50,4,22,96.7741935483871,49.62779156327544,19,20.526315789473685,0.0,0.0,0.0,0.0,0.0,0.0,11.73,1,Key Bowler
CH Gayle,4997,3516,408,359,141,142.1217292377702,46.53014789533561,126,39.65873015873016,755.0,584.0,38.0,19.0,7.756849315068494,30.73684210526316,38.84,0,Elite All-Rounder
CH Morris,618,413,41,35,49,149.636803874092,32.445520581113804,28,22.071428571428573,2377.0,1801.0,81.0,107.0,7.91893392559689,16.83177570093458,42.85,1,Key Bowler
CJ Anderson,538,436,40,31,29,123.39449541284404,45.87155963302752,22,24.454545454545453,525.0,315.0,22.0,14.0,10.0,22.5,20.58,1,Key Bowler
CJ Ferguson,98,119,9,0,8,82.35294117647058,48.739495798319325,6,16.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,7.69,1,Key Bowler
CJ Jordan,81,81,3,3,12,100.0,46.913580246913575,10,8.1,1111.0,717.0,34.0,36.0,9.297071129707112,19.916666666666668,10.87,1,Key Bowler
CL White,971,774,76,38,45,125.45219638242897,35.400516795865634,36,26.97222222222222,0.0,0.0,0.0,0.0,0.0,0.0,20.52,1,Key Bowler
CM Gautam,169,158,17,6,13,106.9620253164557,53.16455696202531,10,16.9,0.0,0.0,0.0,0.0,0.0,0.0,10.6,1,Key Bowler
CR Brathwaite,181,120,10,16,14,150.83333333333334,44.16666666666666,13,13.923076923076923,384.0,266.0,16.0,16.0,8.661654135338345,16.625,15.56,1,Key Bowler
CR Woakes,78,77,7,2,12,101.29870129870127,42.85714285714285,6,13.0,674.0,463.0,21.0,31.0,8.734341252699783,14.935483870967742,13.51,1,Key Bowler
D Brevis,230,176,17,16,10,130.6818181818182,47.159090909090914,10,23.0,0.0,0.0,0.0,0.0,0.0,0.0,18.14,1,Key Bowler
D Padikkal,1559,1323,170,42,64,117.83824640967498,42.63038548752834,62,25.14516129032258,0.0,0.0,0.0,0.0,0.0,0.0,17.87,1,Key Bowler
D Wiese,148,105,12,7,11,140.95238095238096,32.38095238095238,5,29.6,447.0,307.0,15.0,17.0,8.736156351791532,18.058823529411764,28.77,1,Key Bowler
DA Miller,2924,2171,207,134,123,134.68447719944726,33.440810686319665,82,35.65853658536585,0.0,0.0,0.0,0.0,0.0,0.0,29.45,0,Elite All-Rounder
DA Warner,6567,4849,663,236,184,135.4299855640338,38.62652093215096,164,40.04268292682927,0.0,0.0,0.0,0.0,0.0,0.0,33.36,0,Elite All-Rounder
DB Das,304,267,23,16,22,113.85767790262172,46.441947565543074,14,21.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,14.79,1,Key Bowler
DB Ravi Teja,375,325,35,9,25,115.38461538461536,38.15384615384615,19,19.73684210526316,0.0,0.0,0.0,0.0,0.0,0.0,13.56,1,Key Bowler
DH Yagnik,170,142,23,2,17,119.71830985915491,43.66197183098591,10,17.0,0.0,0.0,0.0,0.0,0.0,0.0,12.03,1,Key Bowler
DJ Bravo,1560,1247,120,66,110,125.10024057738572,39.93584603047314,69,22.608695652173918,4436.0,3296.0,158.0,207.0,8.075242718446601,15.92270531400966,60.36,0,Elite All-Rounder
DJ Harris,111,103,11,5,4,107.76699029126212,50.48543689320388,4,27.75,0.0,0.0,0.0,0.0,0.0,0.0,18.05,1,Key Bowler
DJ Hooda,1466,1170,96,61,96,125.2991452991453,34.35897435897436,80,18.325,535.0,384.0,33.0,10.0,8.359375,38.4,15.7,1,Key Bowler
DJ Hussey,1322,1101,90,60,61,120.07266121707538,38.60127157129882,49,26.97959183673469,485.0,323.0,26.0,10.0,9.009287925696594,32.3,21.49,1,Key Bowler
DJ Jacobs,92,101,10,4,7,91.0891089108911,61.38613861386138,7,13.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,6.76,1,Key Bowler
DJ Mitchell,351,274,28,10,15,128.1021897810219,29.92700729927008,13,27.0,0.0,0.0,0.0,0.0,0.0,0.0,20.99,1,Key Bowler
DJ Thornely,39,54,2,2,4,72.22222222222221,57.407407407407405,3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13,1,Key Bowler
DJ Willey,53,64,7,0,5,82.8125,56.25,2,26.5,277.0,221.0,11.0,7.0,7.520361990950226,31.571428571428573,14.61,1,Key Bowler
DJG Sammy,295,251,15,18,20,117.52988047808766,43.02788844621514,15,19.666666666666668,354.0,244.0,19.0,14.0,8.704918032786885,17.428571428571427,16.49,1,Key Bowler
DJM Short,115,102,11,5,7,112.74509803921568,47.05882352941176,7,16.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,10.88,1,Key Bowler
DL Chahar,80,61,2,6,12,131.14754098360655,39.34426229508197,7,11.428571428571429,2243.0,1746.0,81.0,79.0,7.707903780068729,22.10126582278481,25.98,1,Key Bowler
DL Vettori,121,118,11,2,16,102.54237288135592,38.983050847457626,8,15.125,894.0,785.0,34.0,34.0,6.83312101910828,23.08823529411765,17.4,1,Key Bowler
DP Conway,924,669,100,30,22,138.11659192825113,35.42600896860987,19,48.63157894736842,0.0,0.0,0.0,0.0,0.0,0.0,41.5,1,Key Bowler
DPMD Jayawardene,1808,1522,200,40,78,118.7910643889619,40.67017082785808,64,28.25,0.0,0.0,0.0,0.0,0.0,0.0,20.35,1,Key Bowler
DR Smith,2385,1803,245,117,88,132.27953410981698,46.1453133666112,84,28.392857142857142,825.0,557.0,46.0,27.0,8.88689407540395,20.62962962962963,28.0,0,Elite All-Rounder
DS Kulkarni,104,113,7,2,20,92.03539823008848,44.24778761061947,9,11.555555555555555,2513.0,1876.0,92.0,91.0,8.03731343283582,20.615384615384617,25.06,1,Key Bowler
DT Christian,460,408,23,19,41,112.74509803921568,35.53921568627451,31,14.838709677419354,1218.0,922.0,49.0,40.0,7.926247288503254,23.05,18.28,1,Key Bowler
DW Steyn,167,163,14,3,33,102.45398773006136,44.171779141104295,22,7.590909090909091,2583.0,2282.0,95.0,105.0,6.791411042944786,21.73333333333333,30.25,1,Key Bowler
Dhruv Jurel,347,237,29,16,22,146.41350210970467,31.223628691983123,15,23.133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,20.54,1,Key Bowler
E Lewis,654,499,62,36,26,131.062124248497,46.89378757515031,24,27.25,0.0,0.0,0.0,0.0,0.0,0.0,21.7,1,Key Bowler
EJG Morgan,1406,1181,112,64,74,119.05165114309906,43.35309060118544,62,22.677419354838708,0.0,0.0,0.0,0.0,0.0,0.0,16.22,1,Key Bowler
F du Plessis,4571,3435,422,166,138,133.07132459970887,35.48762736535662,127,35.99212598425197,0.0,0.0,0.0,0.0,0.0,0.0,29.37,0,Elite All-Rounder
FY Fazal,183,179,22,1,11,102.23463687150836,41.34078212290503,10,18.3,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1,Key Bowler
G Gambhir,4217,3524,492,59,151,119.66515323496029,38.50737797956867,136,31.00735294117647,0.0,0.0,0.0,0.0,0.0,0.0,22.58,0,Elite All-Rounder
GC Smith,739,691,94,9,29,106.9464544138929,46.30969609261939,26,28.423076923076923,0.0,0.0,0.0,0.0,0.0,0.0,18.36,1,Key Bowler
GD Phillips,65,55,3,6,8,118.1818181818182,58.18181818181818,7,9.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,6.13,1,Key Bowler
GH Vihari,284,331,23,1,23,85.80060422960725,44.10876132930513,20,14.2,0.0,0.0,0.0,0.0,0.0,0.0,6.89,1,Key Bowler
GJ Bailey,663,552,59,19,36,120.1086956521739,37.5,27,24.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,17.79,1,Key Bowler
GJ Maxwell,2772,1842,233,160,128,150.4885993485342,38.21932681867536,112,24.75,1311.0,965.0,79.0,41.0,8.151295336787564,23.536585365853657,31.17,0,Elite All-Rounder
Gurkeerat Singh,511,436,55,11,32,117.20183486238533,38.99082568807339,24,21.291666666666668,97.0,82.0,6.0,5.0,7.097560975609756,16.4,16.12,1,Key Bowler
H Klaasen,993,613,56,64,32,161.99021207177816,27.24306688417618,26,38.19230769230769,0.0,0.0,0.0,0.0,0.0,0.0,38.17,1,Key Bowler
HC Brook,190,159,23,4,11,119.49685534591194,44.0251572327044,9,21.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,15.1,1,Key Bowler
HH Gibbs,886,837,83,31,36,105.8542413381123,48.98446833930705,32,27.6875,0.0,0.0,0.0,0.0,0.0,0.0,17.67,1,Key Bowler
HH Pandya,2534,1814,189,137,128,139.69128996692393,36.16317530319736,89,28.471910112359552,2196.0,1485.0,93.0,70.0,8.872727272727273,21.214285714285715,37.59,0,Elite All-Rounder
HM Amla,577,418,60,21,16,138.03827751196172,35.88516746411483,13,44.38461538461539,0.0,0.0,0.0,0.0,0.0,0.0,37.79,1,Key Bowler
HR Shokeen,66,67,9,0,5,98.50746268656717,49.25373134328358,3,22.0,320.0,213.0,13.0,5.0,9.014084507042254,42.6,13.8,1,Key Bowler
HV Patel,249,214,16,15,37,116.35514018691588,46.26168224299065,27,9.22222222222222,3215.0,2284.0,103.0,151.0,8.44570928196147,15.125827814569536,36.2,1,Key Bowler
Harbhajan Singh,833,636,79,42,88,130.9748427672956,44.81132075471698,55,15.145454545454545,4101.0,3496.0,160.0,161.0,7.0383295194508015,21.714285714285715,50.37,1,Key Bowler
Harpreet Brar,233,201,19,9,24,115.92039800995023,42.28855721393035,11,21.181818181818183,907.0,692.0,39.0,25.0,7.864161849710983,27.68,20.05,1,Key Bowler
Harpreet Singh,123,119,10,3,8,103.36134453781514,41.17647058823529,7,17.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,10.66,1,Key Bowler
I Sharma,57,71,4,2,21,80.28169014084507,54.929577464788736,6,9.5,3255.0,2429.0,110.0,96.0,8.04034582132565,25.30208333333333,24.21,1,Key Bowler
IK Pathan,1150,985,88,38,82,116.751269035533,37.86802030456853,53,21.69811320754717,2711.0,2113.0,101.0,99.0,7.698059630856601,21.343434343434343,36.91,1,Key Bowler
IR Jaggi,76,100,6,0,7,76.0,51.0,5,15.2,0.0,0.0,0.0,0.0,0.0,0.0,6.49,1,Key Bowler
Iqbal Abdulla,88,86,9,1,13,102.32558139534883,41.86046511627907,2,44.0,1125.0,943.0,48.0,45.0,7.158006362672323,20.95555555555556,38.19,1,Key Bowler
Ishan Kishan,2644,1991,255,119,99,132.79758915118032,40.38171772978403,93,28.43010752688172,0.0,0.0,0.0,0.0,0.0,0.0,22.99,0,Elite All-Rounder
J Botha,409,364,39,5,28,112.36263736263736,37.91208791208791,20,20.45,818.0,709.0,34.0,27.0,6.922425952045134,26.25925925925926,20.28,1,Key Bowler
J Fraser-McGurk,330,150,32,28,9,220.00000000000003,40.66666666666666,9,36.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,Key Bowler
J Suchith,70,62,6,3,9,112.90322580645164,48.38709677419355,4,17.5,604.0,434.0,21.0,20.0,8.350230414746544,21.7,15.71,1,Key Bowler
JA Morkel,975,712,61,55,67,136.938202247191,35.39325842696629,40,24.375,2409.0,1807.0,87.0,96.0,7.998893193137797,18.822916666666668,40.52,1,Key Bowler
JC Archer,199,132,11,14,23,150.75757575757575,35.60606060606061,13,15.307692307692308,1210.0,987.0,40.0,49.0,7.355623100303951,20.142857142857142,25.01,1,Key Bowler
JC Buttler,3583,2519,356,161,106,142.23898372369987,39.77768955934895,95,37.71578947368421,0.0,0.0,0.0,0.0,0.0,0.0,32.99,0,Elite All-Rounder
JD Ryder,604,466,69,19,29,129.6137339055794,42.91845493562232,28,21.571428571428573,314.0,241.0,16.0,11.0,7.817427385892117,21.90909090909091,19.2,1,Key Bowler
JD Unadkat,197,170,16,7,27,115.88235294117648,41.17647058823529,16,12.3125,3219.0,2194.0,104.0,109.0,8.803099361896079,20.12844036697248,29.13,1,Key Bowler
JDP Oram,106,110,6,5,11,96.36363636363636,45.45454545454545,8,13.25,362.0,244.0,14.0,13.0,8.901639344262296,18.76923076923077,9.73,1,Key Bowler
JDS Neesham,92,93,6,2,10,98.9247311827957,43.01075268817204,9,10.22222222222222,342.0,222.0,13.0,8.0,9.243243243243244,27.75,7.05,1,Key Bowler
JEC Franklin,327,309,25,9,16,105.8252427184466,40.1294498381877,11,29.727272727272727,225.0,155.0,15.0,9.0,8.70967741935484,17.22222222222222,20.77,1,Key Bowler
JH Kallis,2427,2291,255,44,95,105.93627237014404,42.8633784373636,85,28.55294117647059,2348.0,1799.0,89.0,74.0,7.831017231795442,24.31081081081081,34.24,0,Elite All-Rounder
JJ Bumrah,68,80,5,1,26,85.0,46.25,7,9.714285714285714,3840.0,3185.0,133.0,182.0,7.233908948194662,17.5,46.95,1,Key Bowler
JJ Roy,614,460,75,21,21,133.47826086956522,42.82608695652174,19,32.31578947368421,0.0,0.0,0.0,0.0,0.0,0.0,26.37,1,Key Bowler
JM Bairstow,1589,1132,166,69,50,140.37102473498234,40.812720848056536,46,34.54347826086956,0.0,0.0,0.0,0.0,0.0,0.0,29.75,0,Elite All-Rounder
JM Sharma,730,501,53,45,36,145.70858283433134,38.32335329341318,32,22.8125,0.0,0.0,0.0,0.0,0.0,0.0,20.15,1,Key Bowler
JO Holder,259,217,13,18,27,119.35483870967742,45.16129032258064,21,12.333333333333334,1489.0,1049.0,46.0,59.0,8.516682554814109,17.779661016949152,20.2,1,Key Bowler
JP Duminy,2029,1680,126,79,75,120.77380952380952,33.45238095238095,51,39.78431372549019,847.0,701.0,49.0,23.0,7.249643366619116,30.47826086956522,34.83,0,Elite All-Rounder
JP Faulkner,527,406,36,23,45,129.80295566502463,35.714285714285715,26,20.26923076923077,1849.0,1287.0,60.0,76.0,8.62004662004662,16.93421052631579,30.69,1,Key Bowler
JR Hopes,417,314,49,11,19,132.80254777070064,38.21656050955414,16,26.0625,562.0,369.0,20.0,14.0,9.138211382113822,26.357142857142858,23.6,1,Key Bowler
JR Philippe,78,80,9,1,5,97.5,47.5,4,19.5,0.0,0.0,0.0,0.0,0.0,0.0,11.19,1,Key Bowler
K Goel,218,239,17,9,16,91.21338912133892,54.39330543933054,15,14.533333333333331,94.0,67.0,6.0,0.0,8.417910447761194,0.0,7.57,1,Key Bowler
K Gowtham,247,159,15,17,27,155.34591194968556,38.9937106918239,18,13.72222222222222,825.0,599.0,35.0,22.0,8.263772954924875,27.227272727272727,17.14,1,Key Bowler
K Rabada,206,207,16,8,28,99.51690821256038,48.792270531400966,17,12.117647058823527,2652.0,1907.0,80.0,126.0,8.34399580492921,15.134920634920634,32.34,1,Key Bowler
KA Jamieson,65,55,5,3,7,118.1818181818182,45.45454545454545,4,16.25,271.0,179.0,9.0,9.0,9.083798882681563,19.88888888888889,12.99,1,Key Bowler
KA Pollard,3437,2447,221,224,168,140.45770331017573,39.51777686963629,121,28.40495867768595,2200.0,1586.0,107.0,81.0,8.32282471626734,19.580246913580247,40.79,0,Elite All-Rounder
KB Arun Karthik,51,53,4,1,8,96.22641509433964,45.28301886792453,5,10.2,0.0,0.0,0.0,0.0,0.0,0.0,5.4,1,Key Bowler
KC Sangakkara,1687,1424,195,27,68,118.4691011235955,38.764044943820224,65,25.953846153846158,0.0,0.0,0.0,0.0,0.0,0.0,18.58,1,Key Bowler
KD Karthik,4843,3687,466,161,233,131.35340385136968,36.04556550040684,184,26.320652173913043,0.0,0.0,0.0,0.0,0.0,0.0,20.99,0,Elite All-Rounder
KH Pandya,1647,1287,144,61,107,127.97202797202796,38.92773892773892,75,21.96,2644.0,2183.0,117.0,80.0,7.267063673843335,27.2875,35.52,0,Elite All-Rounder
KK Cooper,116,70,9,8,12,165.71428571428572,41.42857142857143,9,12.88888888888889,789.0,600.0,25.0,36.0,7.89,16.666666666666668,20.38,1,Key Bowler
KK Nair,1496,1192,161,39,68,125.503355704698,39.42953020134228,63,23.746031746031747,0.0,0.0,0.0,0.0,0.0,0.0,17.98,1,Key Bowler
KL Rahul,4689,3578,400,187,122,131.05086640581328,35.718278367803244,105,44.65714285714286,0.0,0.0,0.0,0.0,0.0,0.0,36.06,0,Elite All-Rounder
KM Jadhav,1208,1012,102,40,81,119.36758893280631,37.05533596837945,54,22.37037037037037,0.0,0.0,0.0,0.0,0.0,0.0,16.03,1,Key Bowler
KP Pietersen,1001,758,91,40,36,132.05804749340368,38.25857519788919,28,35.75,218.0,180.0,13.0,9.0,7.266666666666667,20.0,31.03,1,Key Bowler
KR Mayers,379,276,38,22,13,137.31884057971016,51.08695652173913,13,29.153846153846157,0.0,0.0,0.0,0.0,0.0,0.0,24.42,1,Key Bowler
KS Bharat,199,168,12,8,8,118.45238095238096,36.90476190476191,7,28.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,20.42,1,Key Bowler
KS Williamson,2132,1734,187,64,76,122.95271049596307,35.870818915801614,60,35.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,26.72,0,Elite All-Rounder
