player,total_runs,balls_faced,strike_rate,cluster,category
Anmolpreet Singh,139,117,118.8034188034188,2,Aggressive Player
Anuj Rawat,318,276,115.21739130434784,0,Low Performer
Arshad Khan,96,67,143.28358208955223,2,Aggressive Player
Ashutosh Sharma,189,118,160.16949152542372,2,Aggressive Player
Atharva Taide,247,177,139.54802259887003,2,Aggressive Player
Azhar Mahmood,388,311,124.7588424437299,2,Aggressive Player
B Akhil,76,57,133.33333333333331,2,Aggressive Player
B Chipli,280,256,109.375,0,Low Performer
B Kumar,306,338,90.53254437869822,0,Low Performer
B Lee,124,102,121.5686274509804,2,Aggressive Player
B Sai Sudharsan,1034,770,134.28571428571428,2,Aggressive Player
BA Stokes,935,718,130.22284122562675,2,Aggressive Player
BB McCullum,2882,2272,126.84859154929578,1,Elite Player
BB Samantray,125,116,107.7586206896552,0,Low Performer
BCJ Cutting,238,146,163.013698630137,2,Aggressive Player
BJ Hodge,1400,1153,121.42237640936686,2,Aggressive Player
BJ Rohrer,193,146,132.1917808219178,2,Aggressive Player
Bipul Sharma,187,124,150.80645161290323,2,Aggressive Player
C Green,707,472,149.78813559322032,2,Aggressive Player
C Munro,177,144,122.91666666666669,2,Aggressive Player
C de Grandhomme,303,229,132.31441048034935,2,Aggressive Player
CA Ingram,205,183,112.02185792349728,0,Low Performer
CA Lynn,1329,974,136.4476386036961,2,Aggressive Player
CA Pujara,390,403,96.7741935483871,0,Low Performer
CH Gayle,4997,3516,142.1217292377702,1,Elite Player
CH Morris,618,413,149.636803874092,2,Aggressive Player
CJ Anderson,538,436,123.39449541284404,2,Aggressive Player
CJ Ferguson,98,119,82.35294117647058,0,Low Performer
CJ Jordan,81,81,100.0,0,Low Performer
CL White,971,774,125.45219638242897,2,Aggressive Player
CM Gautam,169,158,106.9620253164557,0,Low Performer
CR Brathwaite,181,120,150.83333333333334,2,Aggressive Player
CR Woakes,78,77,101.29870129870127,0,Low Performer
D Brevis,230,176,130.6818181818182,2,Aggressive Player
D Padikkal,1559,1323,117.83824640967498,2,Aggressive Player
D Wiese,148,105,140.95238095238096,2,Aggressive Player
DA Miller,2924,2171,134.68447719944726,1,Elite Player
DA Warner,6567,4849,135.4299855640338,1,Elite Player
DB Das,304,267,113.85767790262172,0,Low Performer
DB Ravi Teja,375,325,115.38461538461536,0,Low Performer
DH Yagnik,170,142,119.71830985915491,2,Aggressive Player
DJ Bravo,1560,1247,125.10024057738572,2,Aggressive Player
DJ Harris,111,103,107.76699029126212,0,Low Performer
DJ Hooda,1466,1170,125.2991452991453,2,Aggressive Player
DJ Hussey,1322,1101,120.07266121707538,2,Aggressive Player
DJ Jacobs,92,101,91.0891089108911,0,Low Performer
DJ Mitchell,351,274,128.1021897810219,2,Aggressive Player
DJ Thornely,39,54,72.22222222222221,0,Low Performer
DJ Willey,53,64,82.8125,0,Low Performer
DJG Sammy,295,251,117.52988047808766,2,Aggressive Player
DJM Short,115,102,112.74509803921568,0,Low Performer
DL Chahar,80,61,131.14754098360655,2,Aggressive Player
DL Vettori,121,118,102.54237288135592,0,Low Performer
DP Conway,924,669,138.11659192825113,2,Aggressive Player
DPMD Jayawardene,1808,1522,118.7910643889619,2,Aggressive Player
DR Smith,2385,1803,132.27953410981698,1,Elite Player
DS Kulkarni,104,113,92.03539823008848,0,Low Performer
DT Christian,460,408,112.74509803921568,0,Low Performer
DW Steyn,167,163,102.45398773006136,0,Low Performer
Dhruv Jurel,347,237,146.41350210970467,2,Aggressive Player
E Lewis,654,499,131.062124248497,2,Aggressive Player
EJG Morgan,1406,1181,119.05165114309906,2,Aggressive Player
F du Plessis,4571,3435,133.07132459970887,1,Elite Player
FY Fazal,183,179,102.23463687150836,0,Low Performer
G Gambhir,4217,3524,119.66515323496029,1,Elite Player
GC Smith,739,691,106.9464544138929,0,Low Performer
GD Phillips,65,55,118.1818181818182,2,Aggressive Player
GH Vihari,284,331,85.80060422960725,0,Low Performer
GJ Bailey,663,552,120.1086956521739,2,Aggressive Player
GJ Maxwell,2772,1842,150.4885993485342,1,Elite Player
Gurkeerat Singh,511,436,117.20183486238533,2,Aggressive Player
H Klaasen,993,613,161.99021207177816,2,Aggressive Player
HC Brook,190,159,119.49685534591194,2,Aggressive Player
HH Gibbs,886,837,105.8542413381123,0,Low Performer
HH Pandya,2534,1814,139.69128996692393,1,Elite Player
HM Amla,577,418,138.03827751196172,2,Aggressive Player
HR Shokeen,66,67,98.50746268656717,0,Low Performer
HV Patel,249,214,116.35514018691588,0,Low Performer
Harbhajan Singh,833,636,130.9748427672956,2,Aggressive Player
Harpreet Brar,233,201,115.92039800995023,0,Low Performer
Harpreet Singh,123,119,103.36134453781514,0,Low Performer
I Sharma,57,71,80.28169014084507,0,Low Performer
IK Pathan,1150,985,116.751269035533,2,Aggressive Player
IR Jaggi,76,100,76.0,0,Low Performer
Iqbal Abdulla,88,86,102.32558139534883,0,Low Performer
Ishan Kishan,2644,1991,132.79758915118032,1,Elite Player
J Botha,409,364,112.36263736263736,0,Low Performer
J Fraser-McGurk,330,150,220.00000000000003,2,Aggressive Player
J Suchith,70,62,112.90322580645164,0,Low Performer
JA Morkel,975,712,136.938202247191,2,Aggressive Player
JC Archer,199,132,150.75757575757575,2,Aggressive Player
JC Buttler,3583,2519,142.23898372369987,1,Elite Player
JD Ryder,604,466,129.6137339055794,2,Aggressive Player
JD Unadkat,197,170,115.88235294117648,0,Low Performer
JDP Oram,106,110,96.36363636363636,0,Low Performer
JDS Neesham,92,93,98.9247311827957,0,Low Performer
JEC Franklin,327,309,105.8252427184466,0,Low Performer
JH Kallis,2427,2291,105.93627237014404,1,Elite Player
JJ Bumrah,68,80,85.0,0,Low Performer
JJ Roy,614,460,133.47826086956522,2,Aggressive Player
JM Bairstow,1589,1132,140.37102473498234,2,Aggressive Player
JM Sharma,730,501,145.70858283433134,2,Aggressive Player
JO Holder,259,217,119.35483870967742,2,Aggressive Player
JP Duminy,2029,1680,120.77380952380952,2,Aggressive Player
JP Faulkner,527,406,129.80295566502463,2,Aggressive Player
JR Hopes,417,314,132.80254777070064,2,Aggressive Player
JR Philippe,78,80,97.5,0,Low Performer
K Goel,218,239,91.21338912133892,0,Low Performer
K Gowtham,247,159,155.34591194968556,2,Aggressive Player
K Rabada,206,207,99.51690821256038,0,Low Performer
KA Jamieson,65,55,118.1818181818182,2,Aggressive Player
KA Pollard,3437,2447,140.45770331017573,1,Elite Player
KB Arun Karthik,51,53,96.22641509433964,0,Low Performer
KC Sangakkara,1687,1424,118.4691011235955,2,Aggressive Player
KD Karthik,4843,3687,131.35340385136968,1,Elite Player
KH Pandya,1647,1287,127.97202797202796,2,Aggressive Player
KK Cooper,116,70,165.71428571428572,2,Aggressive Player
KK Nair,1496,1192,125.503355704698,2,Aggressive Player
KL Rahul,4689,3578,131.05086640581328,1,Elite Player
KM Jadhav,1208,1012,119.36758893280631,2,Aggressive Player
KP Pietersen,1001,758,132.05804749340368,2,Aggressive Player
KR Mayers,379,276,137.31884057971016,2,Aggressive Player
KS Bharat,199,168,118.45238095238096,2,Aggressive Player
KS Williamson,2132,1734,122.95271049596307,2,Aggressive Player
KV Sharma,351,306,114.70588235294116,0,Low Performer
Kamran Akmal,128,78,164.1025641025641,2,Aggressive Player
Kuldeep Yadav,183,224,81.69642857142857,0,Low Performer
LA Carseldine,81,71,114.08450704225352,0,Low Performer
LA Pomersbach,302,251,120.3187250996016,2,Aggressive Player
LJ Wright,106,63,168.25396825396825,2,Aggressive Player
LMP Simmons,1079,878,122.89293849658314,2,Aggressive Player
LR Shukla,405,358,113.12849162011172,0,Low Performer
LRPL Taylor,1017,847,120.07083825265644,2,Aggressive Player
LS Livingstone,939,609,154.1871921182266,2,Aggressive Player
Lalit Yadav,305,301,101.32890365448506,0,Low Performer
M Jansen,66,71,92.95774647887325,0,Low Performer
M Kaif,259,258,100.3875968992248,0,Low Performer
M Kartik,113,109,103.6697247706422,0,Low Performer
M Klinger,73,78,93.5897435897436,0,Low Performer
M Manhas,514,486,105.76131687242798,0,Low Performer
M Morkel,126,93,135.48387096774192,2,Aggressive Player
M Rawat,55,70,78.57142857142857,0,Low Performer
M Shahrukh Khan,553,413,133.89830508474577,2,Aggressive Player
M Vijay,2619,2208,118.61413043478262,1,Elite Player
M Vohra,1083,863,125.49246813441484,2,Aggressive Player
MA Agarwal,2669,2081,128.25564632388276,1,Elite Player
MA Starc,105,109,96.3302752293578,0,Low Performer
MC Henriques,1000,801,124.84394506866415,2,Aggressive Player
MC Juneja,125,134,93.28358208955224,0,Low Performer
MD Mishra,237,213,111.26760563380284,0,Low Performer
MEK Hussey,1977,1648,119.96359223300972,2,Aggressive Player
MF Maharoof,177,124,142.74193548387098,2,Aggressive Player
MG Johnson,167,168,99.40476190476193,0,Low Performer
MJ Clarke,98,96,102.08333333333331,0,Low Performer
MJ Guptill,271,197,137.56345177664974,2,Aggressive Player
MJ Lumb,278,198,140.4040404040404,2,Aggressive Player
MJ McClenaghan,85,73,116.43835616438356,0,Low Performer
MJ Santner,70,77,90.9090909090909,0,Low Performer
MK Lomror,527,389,135.47557840616966,2,Aggressive Player
MK Pandey,3859,3288,117.3661800486618,1,Elite Player
MK Tiwary,1695,1489,113.83478844862324,2,Aggressive Player
ML Hayden,1107,839,131.94278903456495,2,Aggressive Player
MM Ali,1162,849,136.86690223792698,2,Aggressive Player
MM Sharma,124,137,90.51094890510949,0,Low Performer
MN Samuels,161,174,92.52873563218392,0,Low Performer
MN van Wyk,167,135,123.7037037037037,2,Aggressive Player
MP Stoinis,1866,1366,136.60322108345534,2,Aggressive Player
MR Marsh,665,532,125.0,2,Aggressive Player
MS Bisla,798,737,108.27679782903662,0,Low Performer
MS Dhoni,5243,3947,132.8350646060299,1,Elite Player
MS Gony,99,76,130.26315789473685,2,Aggressive Player
MS Wade,183,185,98.91891891891892,0,Low Performer
MV Boucher,394,318,123.89937106918238,2,Aggressive Player
MW Short,117,99,118.1818181818182,2,Aggressive Player
Mandeep Singh,1706,1418,120.31029619181946,2,Aggressive Player
Misbah-ul-Haq,117,82,142.6829268292683,2,Aggressive Player
Mohammad Hafeez,64,84,76.19047619047619,0,Low Performer
Mohammad Nabi,221,157,140.76433121019107,2,Aggressive Player
Mohammed Shami,74,82,90.2439024390244,0,Low Performer
Mohammed Siraj,109,122,89.34426229508196,0,Low Performer
N Jagadeesan,162,155,104.51612903225806,0,Low Performer
N Pooran,1769,1143,154.7681539807524,2,Aggressive Player
N Rana,2636,2015,130.81885856079404,1,Elite Player
N Saini,140,143,97.9020979020979,0,Low Performer
N Wadhera,350,261,134.09961685823754,2,Aggressive Player
NK Patel,121,124,97.58064516129032,0,Low Performer
NLTC Perera,424,326,130.06134969325154,2,Aggressive Player
NM Coulter-Nile,82,75,109.33333333333331,0,Low Performer
NS Naik,31,53,58.490566037735846,0,Low Performer
NV Ojha,1554,1360,114.26470588235291,2,Aggressive Player
Naman Dhir,140,84,166.66666666666669,2,Aggressive Player
Nithish Kumar Reddy,303,221,137.10407239819006,2,Aggressive Player
OA Shah,506,405,124.93827160493828,2,Aggressive Player
P Dogra,127,141,90.0709219858156,0,Low Performer
P Kumar,340,323,105.26315789473684,0,Low Performer
P Negi,365,301,121.2624584717608,2,Aggressive Player
P Simran Singh,756,528,143.1818181818182,2,Aggressive Player
PA Patel,2848,2442,116.62571662571663,1,Elite Player
PA Reddy,164,167,98.20359281437123,0,Low Performer
PBB Rajapaksa,277,201,137.81094527363186,2,Aggressive Player
PC Valthaty,505,432,116.89814814814814,2,Aggressive Player
PD Collingwood,203,159,127.67295597484276,2,Aggressive Player
PD Salt,653,385,169.6103896103896,2,Aggressive Player
PJ Cummins,515,359,143.4540389972145,2,Aggressive Player
PK Garg,273,247,110.5263157894737,0,Low Performer
PN Mankad,97,75,129.33333333333331,2,Aggressive Player
PP Chawla,624,580,107.58620689655172,0,Low Performer
PP Shaw,1892,1321,143.22482967448903,2,Aggressive Player
PR Shah,92,97,94.84536082474226,0,Low Performer
PWH de Silva,72,80,90.0,0,Low Performer
Q de Kock,3160,2410,131.12033195020746,1,Elite Player
R Ashwin,800,698,114.61318051575932,2,Aggressive Player
R Bhatia,342,290,117.9310344827586,2,Aggressive Player
R Dhawan,210,188,111.70212765957446,0,Low Performer
R Dravid,2174,1918,113.34723670490096,1,Elite Player
R McLaren,159,178,89.32584269662921,0,Low Performer
R Parag,1173,909,129.04290429042905,2,Aggressive Player
R Powell,360,254,141.73228346456693,2,Aggressive Player
R Rampaul,51,52,98.07692307692308,0,Low Performer
R Ravindra,222,146,152.05479452054794,2,Aggressive Player
R Sathish,270,236,114.40677966101696,0,Low Performer
R Sharma,66,77,85.71428571428571,0,Low Performer
R Shepherd,115,68,169.11764705882354,2,Aggressive Player
R Tewatia,1013,788,128.55329949238578,2,Aggressive Player
R Vinay Kumar,310,289,107.26643598615917,0,Low Performer
RA Jadeja,2959,2378,124.4322960470984,1,Elite Player
RA Tripathi,2236,1650,135.51515151515153,1,Elite Player
RD Chahar,129,127,101.5748031496063,0,Low Performer
RD Gaikwad,2380,1781,133.63279056709715,1,Elite Player
RE Levi,83,74,112.16216216216218,0,Low Performer
RE van der Merwe,159,144,110.41666666666669,0,Low Performer
RG Sharma,6630,5183,127.91819409608335,1,Elite Player
RJ Harris,117,112,104.46428571428572,0,Low Performer
RJ Quiney,103,105,98.09523809523807,0,Low Performer
RK Singh,893,654,136.54434250764527,2,Aggressive Player
RM Patidar,799,534,149.625468164794,2,Aggressive Player
RN ten Doeschate,326,238,136.9747899159664,2,Aggressive Player
RP Singh,52,78,66.66666666666666,0,Low Performer
RR Pant,3297,2296,143.59756097560975,1,Elite Player
RR Powar,67,64,104.6875,0,Low Performer
RR Rossouw,473,321,147.35202492211835,2,Aggressive Player
RR Sarwan,73,78,93.5897435897436,0,Low Performer
RS Bopara,531,468,113.46153846153844,0,Low Performer
RT Ponting,91,129,70.54263565891473,0,Low Performer
RV Gomez,50,53,94.33962264150944,0,Low Performer
RV Patel,80,76,105.26315789473684,0,Low Performer
RV Uthappa,4954,3927,126.15227909345556,1,Elite Player
Rahmanullah Gurbaz,289,228,126.75438596491227,2,Aggressive Player
Ramandeep Singh,170,106,160.37735849056605,2,Aggressive Player
Rashid Khan,545,355,153.52112676056336,2,Aggressive Player
Ravi Bishnoi,32,52,61.53846153846154,0,Low Performer
S Anirudha,136,121,112.39669421487604,0,Low Performer
S Aravind,59,59,100.0,0,Low Performer
S Badrinath,1441,1245,115.7429718875502,2,Aggressive Player
S Dhawan,6769,5483,123.45431333211744,1,Elite Player
S Dube,1502,1077,139.46146703806872,2,Aggressive Player
S Gopal,180,173,104.04624277456648,0,Low Performer
S Nadeem,39,88,44.31818181818182,0,Low Performer
S Rana,91,82,110.97560975609755,0,Low Performer
S Sohal,368,311,118.32797427652731,2,Aggressive Player
S Sreesanth,34,57,59.64912280701754,0,Low Performer
S Vidyut,145,115,126.08695652173914,2,Aggressive Player
SA Asnodkar,423,352,120.17045454545456,2,Aggressive Player
SA Yadav,3594,2522,142.50594766058683,1,Elite Player
SB Bangar,49,58,84.48275862068965,0,Low Performer
SB Styris,131,134,97.76119402985076,0,Low Performer
SC Ganguly,1349,1326,101.73453996983407,0,Low Performer
SD Chitnis,99,92,107.6086956521739,0,Low Performer
SD Hope,183,125,146.4,2,Aggressive Player
SE Marsh,2489,1913,130.10977522216413,1,Elite Player
SE Rutherford,106,107,99.06542056074768,0,Low Performer
SK Raina,5536,4177,132.53531242518554,1,Elite Player
SK Trivedi,42,61,68.85245901639344,0,Low Performer
SK Warne,198,219,90.41095890410958,0,Low Performer
SL Malinga,88,103,85.43689320388349,0,Low Performer
SM Curran,883,673,131.2035661218425,2,Aggressive Player
SM Katich,241,191,126.1780104712042,2,Aggressive Player
SM Pollock,147,116,126.72413793103448,2,Aggressive Player
SN Khan,585,456,128.28947368421052,2,Aggressive Player
SN Thakur,307,228,134.64912280701756,2,Aggressive Player
SO Hetmyer,1243,854,145.5503512880562,2,Aggressive Player
SP Fleming,196,171,114.61988304093566,0,Low Performer
SP Goswami,293,307,95.43973941368078,0,Low Performer
SP Jackson,61,57,107.01754385964912,0,Low Performer
SP Narine,1534,984,155.8943089430894,2,Aggressive Player
SPD Smith,2495,1999,124.81240620310156,1,Elite Player
SR Tendulkar,2334,2044,114.18786692759296,1,Elite Player
SR Watson,3880,2892,134.1632088520055,1,Elite Player
SS Iyer,3131,2545,123.02554027504912,1,Elite Player
SS Prabhudessai,126,113,111.50442477876106,0,Low Performer
SS Tiwary,1494,1291,115.72424477149497,2,Aggressive Player
ST Jayasuriya,768,573,134.03141361256544,2,Aggressive Player
STR Binny,880,700,125.71428571428572,2,Aggressive Player
SV Samson,4419,3270,135.1376146788991,1,Elite Player
SW Billings,503,399,126.06516290726816,2,Aggressive Player
Sachin Baby,144,123,117.07317073170732,2,Aggressive Player
Salman Butt,193,172,112.2093023255814,0,Low Performer
Sandeep Sharma,54,73,73.97260273972603,0,Low Performer
Shahbaz Ahmed,536,467,114.77516059957172,0,Low Performer
Shakib Al Hasan,795,665,119.54887218045114,2,Aggressive Player
Shashank Singh,423,272,155.51470588235296,2,Aggressive Player
Shivam Mavi,51,58,87.93103448275862,0,Low Performer
Shubman Gill,3216,2432,132.23684210526315,1,Elite Player
Sikandar Raza,182,143,127.27272727272728,2,Aggressive Player
T Kohler-Cadmore,48,54,88.88888888888889,0,Low Performer
T Stubbs,405,239,169.4560669456067,2,Aggressive Player
TA Boult,83,82,101.21951219512196,0,Low Performer
TG Southee,120,108,111.11111111111111,0,Low Performer
TH David,659,417,158.0335731414868,2,Aggressive Player
TK Curran,127,108,117.59259259259258,2,Aggressive Player
TL Suman,676,587,115.1618398637138,2,Aggressive Player
TM Dilshan,1153,1047,110.12416427889208,0,Low Performer
TM Head,772,458,168.5589519650655,2,Aggressive Player
TR Birt,75,59,127.1186440677966,2,Aggressive Player
Tilak Varma,1156,830,139.27710843373492,2,Aggressive Player
UBT Chand,300,314,95.54140127388536,0,Low Performer
UT Khawaja,127,105,120.95238095238096,2,Aggressive Player
UT Yadav,208,211,98.5781990521327,0,Low Performer
V Kohli,8014,6236,128.51186658114176,1,Elite Player
V Sehwag,2728,1833,148.82705946535734,1,Elite Player
V Shankar,1115,890,125.2808988764045,2,Aggressive Player
VR Aaron,50,73,68.4931506849315,0,Low Performer
VR Iyer,1326,1000,132.6,2,Aggressive Player
VVS Laxman,282,271,104.0590405904059,0,Low Performer
Vishnu Vinod,56,58,96.55172413793105,0,Low Performer
W Jaffer,130,129,100.7751937984496,0,Low Performer
WA Mota,56,76,73.68421052631578,0,Low Performer
WD Parnell,65,86,75.5813953488372,0,Low Performer
WG Jacks,230,133,172.93233082706766,2,Aggressive Player
WP Saha,2934,2368,123.90202702702702,1,Elite Player
WPUJC Vaas,81,73,110.95890410958904,0,Low Performer
Washington Sundar,378,341,110.85043988269794,0,Low Performer
Y Nagar,285,271,105.1660516605166,0,Low Performer
Y Venugopal Rao,985,865,113.8728323699422,2,Aggressive Player
YBK Jaiswal,1607,1095,146.7579908675799,2,Aggressive Player
YK Pathan,3222,2334,138.04627249357327,1,Elite Player
YS Chahal,37,89,41.57303370786517,0,Low Performer
YV Takawale,192,183,104.91803278688523,0,Low Performer
Yashpal Singh,47,67,70.1492537313433,0,Low Performer
Yuvraj Singh,2754,2207,124.78477571363842,1,Elite Player
Z Khan,117,141,82.97872340425532,0,Low Performer
